ITEM: TIMESTEP
26000
ITEM: NUMBER OF ATOMS
2835
ITEM: BOX BOUNDS pp pp pp
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
ITEM: ATOMS id type x y z q
587 2 49.1014 28.6113 19.5153 -0.0824492
589 1 49.7429 28.004 20.1634 0.0764537
588 1 48.0897 28.3443 19.7691 0.0741506
364 1 -3.21863 36.5173 17.4561 0.130017
1345 1 -1.7011 35.703 21.0107 0.0799658
1343 1 -0.0453502 36.0131 21.4637 0.0985124
1344 1 -1.37413 36.1908 22.6233 0.067205
1342 2 -1.0832 36.3652 21.569 -0.204563
365 1 -3.17256 34.8051 17.7528 0.131104
1348 3 4.19505 35.384 22.9886 -0.150175
1349 3 5.3123 35.9248 23.1419 -0.102375
411 3 15.3824 36.8816 20.0308 -0.155112
381 1 12.9285 35.1505 21.8832 0.136667
377 2 12.1949 34.3568 19.9229 -0.0875986
378 1 12.332 33.2975 20.0821 0.0576233
379 1 11.1473 34.5761 20.1555 0.078539
380 2 13.1414 35.2703 20.7958 -0.304812
373 1 11.2597 33.074 17.4953 0.0609293
382 1 14.1738 35.0053 20.7116 0.171003
383 1 13.038 36.305 20.5361 0.220175
372 1 10.3289 34.4461 18.0013 0.0680253
371 2 11.2782 34.1732 17.5563 -0.0947522
374 2 12.4907 34.6793 18.4059 -0.113503
375 1 13.4218 34.1852 18.0916 0.0734894
376 1 12.6374 35.7597 18.2871 0.0675821
507 3 21.1084 36.303 17.6761 -0.124045
332 1 25.3445 31.7105 17.4124 0.14338
471 1 24.8458 37.3618 18.9366 0.105728
470 1 25.7628 36.9706 17.5454 0.178812
585 1 49.6927 30.75 18.9432 0.0797299
586 1 49.2793 30.5741 20.661 0.0923023
1284 1 67.9132 31.6585 20.619 0.324742
623 3 66.9042 33.0849 19.464 -0.11444
624 3 68.018 32.6116 20.2392 -0.282795
358 1 75.5274 35.3665 16.9264 0.112382
1338 1 77.6932 37.5436 20.4061 0.0788626
158 1 40.4777 1.35772 23.7647 0.0889413
157 2 39.5627 1.79657 24.1167 -0.216464
159 1 39.6696 1.74098 25.2306 0.119509
1690 1 35.3161 0.355838 30.1881 0.0663004
201 3 37.1626 3.31344 26.9912 -0.112479
281 1 63.8334 3.08738 24.1571 0.159463
282 1 65.6071 2.62253 23.9446 0.17571
1170 1 66.7481 -2.00804 25.1609 0.0927837
1171 1 65.5127 -0.733172 25.0051 0.0831586
1167 1 67.8832 0.166286 24.1549 0.1383
1169 2 66.2217 -1.35261 24.4411 -0.18436
1151 3 10.4528 9.765 29.2032 -0.138353
1034 3 26.3151 4.8742 30.2034 -0.20921
1033 3 27.3321 5.48083 29.3795 -0.115929
155 1 26.9161 4.90777 31.3315 0.240148
168 1 39.4596 6.05518 24.0185 0.0891524
202 3 37.2115 4.54474 26.6847 -0.105136
165 1 40.8249 4.15127 24.91 0.136658
1139 3 41.1776 5.75428 30.2849 -0.0839101
1138 3 41.7652 5.60181 29.1502 -0.0904551
260 1 52.4683 9.24917 26.9146 0.0739518
258 2 52.415 8.53123 26.0272 -0.196298
152 1 50.6126 9.49309 25.039 0.132152
255 2 51.0923 8.55059 25.2996 -0.147778
256 1 50.4883 7.72899 25.2931 0.152376
259 1 52.9547 9.11371 25.1936 0.112044
261 1 52.8147 7.55914 26.1895 0.118148
1040 3 77.5689 9.97769 25.2966 -0.105691
69 2 -1.14146 12.7098 24.0426 -0.251114
72 1 -1.33564 12.7731 25.1282 0.1517
75 1 1.02551 12.6902 24.3255 0.131567
1279 1 5.33006 14.4084 24.5271 0.163539
91 3 4.30672 12.4845 24.9288 -0.149736
90 3 3.32554 11.7059 24.6998 -0.139891
1250 3 48.9014 11.5443 28.8348 -0.115176
1249 3 49.0559 10.5182 28.1069 -0.123391
1238 1 51.4727 12.3055 28.4351 0.151201
1237 2 52.355 12.7248 28.9681 -0.231674
1239 1 52.079 13.0815 29.9771 0.11264
1240 1 52.6546 13.625 28.3852 0.0868612
1235 1 53.1359 10.7966 29.6176 0.0763228
291 1 53.7527 11.328 28.1086 0.052487
1233 1 55.0382 13.2845 29.2634 0.0729438
1231 2 54.8223 12.3536 29.7408 -0.0959864
1232 1 54.6478 12.6307 30.7801 0.0644419
1234 2 53.494 11.684 29.0579 -0.0892447
284 1 56.457 11.0223 30.5289 0.0927651
283 2 55.9304 11.3461 29.6431 -0.144749
285 1 56.3126 10.9635 28.7086 0.082995
1039 3 77.8806 10.929 26.0817 -0.121461
26 1 3.36669 17.5189 24.6978 0.0801467
970 2 4.31353 17.2635 24.2143 -0.108831
34 1 5.24742 20.0189 24.4247 0.082416
1287 1 5.09198 17.2915 25.0077 0.0659851
1365 3 13.8573 17.9286 28.0434 -0.136378
467 1 51.0574 21.6003 25.5924 0.128595
242 1 52.6792 23.2039 30.2366 0.083868
570 2 51.1549 22.4424 26.2451 -0.132739
571 1 50.4023 22.5717 27.0365 0.0939002
576 1 52.806 23.3473 25.2685 0.141222
573 2 52.0733 23.4085 26.0672 -0.141052
301 3 53.8949 21.195 24.2278 -0.136318
1489 1 56.7682 23.246 25.9139 0.114812
1386 1 57.8436 21.8678 26.07 0.1155
1497 1 54.8797 23.6696 27.3574 0.0589936
1178 1 55.5613 21.2392 27.01 0.107073
241 2 53.5082 23.6119 29.6215 -0.199978
1185 1 54.0144 21.5517 28.9249 0.0598775
1183 2 54.5383 22.4875 29.2603 -0.0878547
